ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
19253	"ENSG00000164548.6"	"TRA2A"	chr7	-	23561972	23562051	23561325	23561459	23571407	23571642	19253	41,58	64,43	42,28	61,41	177	99	0.306647609967	1.0	0.264,0.43	0.278,0.276	0.07
19254	"ENSG00000164548.6"	"TRA2A"	chr7	-	23555981	23556081	23552512	23552701	23561325	23561459	19254	106,91	0,1	82,93	0,0	197	99	0.772973038062	1.0	1.0,0.979	1.0,1.0	-0.01
19255	"ENSG00000164548.6"	"TRA2A"	chr7	-	23555981	23556147	23552512	23552701	23561325	23561459	19255	203,204	0,1	210,243	0,0	197	99	1	1.0	1.0,0.99	1.0,1.0	-0.005
19256	"ENSG00000164548.6"	"TRA2A"	chr7	-	23570821	23570889	23561739	23562051	23571407	23571621	19256	3,1	32,59	3,2	46,34	166	99	0.651694108175	1.0	0.053,0.01	0.037,0.034	-0.004
19257	"ENSG00000164548.6"	"TRA2A"	chr7	-	23561750	23562051	23561325	23561459	23570799	23570889	19257	1,10	0,3	6,5	0,0	197	99	1	1.0	1.0,0.626	1.0,1.0	-0.187
19258	"ENSG00000164548.6"	"TRA2A"	chr7	-	23561750	23562051	23561325	23561459	23571407	23571595	19258	48,62	64,43	57,41	61,41	197	99	0.782579532008	1.0	0.274,0.42	0.32,0.334	0.02
19259	"ENSG00000164548.6"	"TRA2A"	chr7	-	23561325	23562051	23555981	23556147	23571407	23571600	19259	292,78	0,3	292,220	1,0	197	99	0.232505718643	1.0	1.0,0.929	0.993,1.0	-0.032
1925	"ENSG00000256546.1"	"AC156455.1"	chr12	+	122505933	122506097	122502455	122502588	122506194	122506522	1925	6,19	4,3	21,18	0,0	197	99	0.290934035815	1.0	0.43,0.761	1.0,1.0	-0.404
19260	"ENSG00000164548.6"	"TRA2A"	chr7	-	23570799	23570889	23561750	23562051	23571407	23571621	19260	11,11	42,67	9,6	53,38	188	99	0.648205280777	1.0	0.121,0.08	0.082,0.077	0.021
19261	"ENSG00000164548.6"	"TRA2A"	chr7	-	23570799	23570889	23561325	23561459	23571407	23571621	19261	1,7	20,56	2,2	41,38	188	99	0.318252306676	1.0	0.026,0.062	0.025,0.027	0.018
19262	"ENSG00000164548.6"	"TRA2A"	chr7	-	23552512	23552701	23547038	23547154	23555981	23556147	19262	775,549	0,3	629,472	1,1	197	99	1	1.0	1.0,0.989	0.997,0.996	-0.002
19263	"ENSG00000164548.6"	"TRA2A"	chr7	-	23561739	23562051	23561325	23561459	23571407	23571599	19263	61,88	64,43	59,42	61,41	197	99	0.247336344761	1.0	0.324,0.507	0.327,0.34	0.082
19264	"ENSG00000159479.12"	"MED8"	chr1	-	43851648	43851897	43849639	43850777	43852259	43852341	19264	227,300	1,5	133,129	0,0	197	99	0.342414490448	1.0	0.991,0.968	1.0,1.0	-0.02
19265	"ENSG00000159479.12"	"MED8"	chr1	-	43853980	43854099	43853173	43853318	43855429	43855479	19265	115,348	0,0	256,191	1,0	197	99	1	1.0	1.0,1.0	0.992,1.0	0.004
19267	"ENSG00000172638.8"	"EFEMP2"	chr11	-	65636830	65637031	65635980	65636100	65637327	65637447	19267	0,2	0,0	0,0	1,1	197	99	1	1.0	NA,1.0	0.0,0.0	1.0
1926	"ENSG00000256546.1"	"AC156455.1"	chr12	+	122502455	122502588	122501211	122501437	122506194	122506522	1926	5,8	2,0	1,1	0,0	197	99	1	1.0	0.557,1.0	1.0,1.0	-0.222
19273	"ENSG00000134758.9"	"RNF138"	chr18	+	29704696	29704808	29703487	29703537	29706655	29706763	19273	358,283	2,1	289,272	1,1	197	99	0.876222080255	1.0	0.989,0.993	0.993,0.993	-0.002
19275	"ENSG00000134758.9"	"RNF138"	chr18	+	29703480	29703537	29693707	29693823	29704696	29704808	19275	355,313	6,1	338,283	6,5	155	99	0.329546557151	1.0	0.974,0.995	0.973,0.973	0.011
19276	"ENSG00000134758.9"	"RNF138"	chr18	+	29672662	29672849	29671817	29672198	29691716	29691882	19276	238,217	1,2	219,170	1,0	197	99	0.610693539043	1.0	0.992,0.982	0.991,1.0	-0.009
19279	"ENSG00000119777.14"	"TMEM214"	chr2	+	27262608	27262705	27261914	27262032	27262897	27263066	19279	49,206	0,0	136,93	1,1	195	99	0.320973207084	1.0	1.0,1.0	0.986,0.979	0.018
1927	"ENSG00000256546.1"	"AC156455.1"	chr12	+	122502455	122502588	122501211	122501437	122505933	122506097	1927	55,24	2,0	21,13	1,0	197	99	0.54934086071	1.0	0.933,1.0	0.913,1.0	0.01
19280	"ENSG00000119777.14"	"TMEM214"	chr2	+	27262583	27262705	27261914	27262032	27262897	27263066	19280	0,101	0,0	32,35	1,1	197	99	1	1.0	NA,1.0	0.941,0.946	0.056
19281	"ENSG00000119777.14"	"TMEM214"	chr2	+	27260682	27260760	27260435	27260570	27261013	27261105	19281	14,56	66,134	22,13	81,55	176	99	0.343443846398	1.0	0.107,0.19	0.133,0.117	0.023
19282	"ENSG00000119777.14"	"TMEM214"	chr2	+	27260657	27260760	27260435	27260570	27261013	27261105	19282	13,44	66,134	22,14	81,55	197	99	0.863178765814	1.0	0.09,0.142	0.12,0.113	-0.001
19283	"ENSG00000119777.14"	"TMEM214"	chr2	+	27258461	27258596	27258002	27258153	27258837	27258920	19283	170,358	0,3	217,151	1,0	197	99	0.865068955667	1.0	1.0,0.984	0.991,1.0	-0.004
19287	"ENSG00000140598.9"	"EFTUD1"	chr15	-	82545031	82545116	82533610	82533744	82551428	82551496	19287	97,84	3,1	69,50	1,1	183	99	0.813200525013	1.0	0.946,0.978	0.974,0.964	-0.007
19288	"ENSG00000140598.9"	"EFTUD1"	chr15	-	82532758	82532896	82530647	82530862	82533610	82533744	19288	122,111	2,0	81,66	0,0	197	99	0.748363131019	1.0	0.968,1.0	1.0,1.0	-0.016
1928	"ENSG00000256546.1"	"AC156455.1"	chr12	+	122502044	122502339	122501254	122501437	122502455	122502564	1928	14,9	12,1	11,9	5,3	197	99	0.819234537986	1.0	0.37,0.819	0.525,0.601	0.032
19290	"ENSG00000140598.9"	"EFTUD1"	chr15	-	82554477	82554689	82554028	82554138	82554954	82555002	19290	0,0	20,18	1,1	13,11	197	99	0.21386154357	1.0	0.0,0.0	0.037,0.044	-0.04
19291	"ENSG00000140598.9"	"EFTUD1"	chr15	-	82554326	82554689	82554028	82554138	82554954	82555002	19291	0,0	20,18	1,1	14,11	197	99	0.233492841256	1.0	0.0,0.0	0.035,0.044	-0.04
19292	"ENSG00000140598.9"	"EFTUD1"	chr15	-	82551428	82551496	82533610	82533744	82554028	82554138	19292	29,26	1,1	24,16	2,1	166	99	0.475418889315	1.0	0.945,0.939	0.877,0.905	0.051
19293	"ENSG00000140598.9"	"EFTUD1"	chr15	-	82507923	82508029	82507123	82507196	82511992	82512159	19293	2,0	17,6	0,0	2,4	197	99	1	1.0	0.056,0.0	0.0,0.0	0.028
19294	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6920268	6920483	6919813	6920004	6920575	6920723	19294	2,2	0,8	1,2	2,2	197	99	1	1.0	1.0,0.112	0.201,0.334	0.289
19295	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6918685	6918778	6918380	6918475	6919092	6919194	19295	4,0	98,120	1,0	39,36	191	99	0.651426927885	1.0	0.021,0.0	0.013,0.0	0.004
19296	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6916637	6916835	6915953	6916080	6916984	6917061	19296	222,367	465,576	213,164	475,368	197	99	0.091396759339	1.0	0.193,0.243	0.184,0.183	0.035
19297	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6920228	6920333	6919813	6920004	6920575	6920723	19297	73,142	3,0	91,61	3,2	197	99	0.26964815979	1.0	0.924,1.0	0.938,0.939	0.024
19298	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6916637	6916854	6915953	6916080	6916984	6917061	19298	28,41	465,576	38,28	475,368	197	99	0.412233842712	1.0	0.029,0.035	0.039,0.037	-0.006
19299	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6920268	6920333	6919813	6920004	6920575	6920723	19299	9,22	3,0	16,10	3,2	163	99	0.625146495483	1.0	0.646,1.0	0.764,0.752	0.065
1929	"ENSG00000091640.3"	"SPAG7"	chr17	-	4863528	4863613	4863316	4863406	4863753	4863842	1929	36,193	3,0	127,113	0,1	183	99	0.585705859384	1.0	0.867,1.0	1.0,0.984	-0.058
192	"ENSG00000197323.6"	"TRIM33"	chr1	-	114964057	114964258	114952805	114952938	114967192	114967377	192	89,60	0,1	1,1	0,0	197	99	1	1.0	1.0,0.968	1.0,1.0	-0.016
19300	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6916637	6916874	6915953	6916080	6916984	6917061	19300	11,45	465,576	19,13	475,368	197	99	0.211230527788	1.0	0.012,0.038	0.02,0.017	0.006
19301	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6917463	6918475	6916962	6917061	6919813	6920004	19301	208,1298	1,2	324,467	0,0	197	99	1	1.0	0.991,0.997	1.0,1.0	-0.006
19302	"ENSG00000161939.14"	"RNASEK-C17orf49"	chr17	+	6919092	6919194	6918380	6918475	6919813	6920004	19302	194,249	2,9	173,124	5,2	197	99	0.935089366598	1.0	0.98,0.933	0.946,0.969	-0.001
19307	"ENSG00000104626.10"	"ERI1"	chr8	+	8887301	8887591	8877859	8877974	8890058	8890848	19307	76,59	3,3	64,46	2,1	197	99	0.710605877441	1.0	0.927,0.908	0.941,0.959	-0.032
19308	"ENSG00000104626.10"	"ERI1"	chr8	+	8866541	8866648	8865479	8865658	8869051	8869262	19308	4,0	99,82	3,2	66,52	197	99	0.313524456891	1.0	0.02,0.0	0.022,0.019	-0.01
19309	"ENSG00000104626.10"	"ERI1"	chr8	+	8866541	8866720	8865479	8865658	8869051	8869262	19309	9,2	99,81	4,3	61,51	197	99	0.796099655714	1.0	0.044,0.012	0.032,0.029	-0.003
19310	"ENSG00000104626.10"	"ERI1"	chr8	+	8875806	8875916	8873831	8873915	8877859	8877974	19310	37,131	0,0	107,91	1,1	197	99	0.578906121818	1.0	1.0,1.0	0.982,0.979	0.02
19311	"ENSG00000104626.10"	"ERI1"	chr8	+	8861583	8861806	8860400	8860681	8865479	8865532	19311	3,2	50,40	2,2	31,22	197	99	0.534449077083	1.0	0.029,0.025	0.031,0.044	-0.01
19312	"ENSG00000104626.10"	"ERI1"	chr8	+	8954252	8954370	8945969	8946079	8957368	8957609	19312	0,0	5,1	1,1	2,1	197	99	1	1.0	0.0,0.0	0.201,0.334	-0.268
19314	"ENSG00000183765.16"	"CHEK2"	chr22	-	29126443	29126536	29121230	29121355	29130390	29130715	19314	17,18	109,68	16,10	87,71	191	99	0.555417639506	1.0	0.075,0.121	0.087,0.068	0.021
19315	"ENSG00000183765.16"	"CHEK2"	chr22	-	29133872	29134026	29130390	29130715	29137756	29137788	19315	2,0	131,98	2,1	89,73	197	99	0.644237804919	1.0	0.008,0.0	0.011,0.007	-0.005
19316	"ENSG00000183765.16"	"CHEK2"	chr22	-	29130390	29130715	29121230	29121355	29137756	29137771	19316	247,153	1,12	178,147	2,2	197	99	0.162878046867	1.0	0.992,0.865	0.978,0.974	-0.047
19317	"ENSG00000183765.16"	"CHEK2"	chr22	-	29117505	29117619	29115382	29115473	29120964	29121112	19317	0,3	41,63	2,1	49,36	197	99	0.761022587243	1.0	0.0,0.023	0.02,0.014	-0.006
19318	"ENSG00000183765.16"	"CHEK2"	chr22	-	29115382	29115473	29107896	29108005	29120964	29121112	19318	144,181	0,3	159,126	1,1	189	99	0.88619884415	1.0	1.0,0.969	0.988,0.985	-0.002
19319	"ENSG00000183765.16"	"CHEK2"	chr22	-	29115382	29115473	29107896	29108005	29120873	29120911	19319	87,114	1,1	93,79	1,0	189	99	0.878430412421	1.0	0.979,0.984	0.98,1.0	-0.008
1931	"ENSG00000104714.9"	"ERICH1"	chr8	-	640969	641096	623864	624047	642477	642612	1931	8,11	63,51	6,5	51,38	197	99	0.565791606573	1.0	0.06,0.098	0.056,0.062	0.02
19320	"ENSG00000183765.16"	"CHEK2"	chr22	-	29120964	29121112	29107896	29108005	29121230	29121355	19320	120,99	1,0	69,56	1,0	197	99	0.527240014926	1.0	0.984,1.0	0.972,1.0	0.006
19321	"ENSG00000183765.16"	"CHEK2"	chr22	-	29090019	29090105	29085122	29085203	29091114	29091230	19321	194,187	0,1	55,61	0,0	184	99	0.458785939536	1.0	1.0,0.99	1.0,1.0	-0.005
19323	"ENSG00000183765.16"	"CHEK2"	chr22	-	29120873	29120911	29107896	29108005	29121230	29121355	19323	2,3	1,0	2,2	1,0	136	99	0.909939626094	1.0	0.593,1.0	0.593,1.0	0.0
19324	"ENSG00000183765.16"	"CHEK2"	chr22	-	29126407	29126536	29121230	29121355	29130390	29130715	19324	25,31	109,68	20,14	87,71	197	99	0.15841053889	1.0	0.103,0.186	0.104,0.09	0.047
19325	"ENSG00000183765.16"	"CHEK2"	chr22	-	29095825	29095925	29092888	29092975	29105993	29106047	19325	79,70	0,1	5,4	0,0	197	99	1	1.0	1.0,0.972	1.0,1.0	-0.014
19328	"ENSG00000215193.8"	"PEX26"	chr22	+	18567877	18568024	18566202	18566498	18570737	18571226	19328	141,45	6,3	110,93	6,4	197	99	0.960328070218	1.0	0.922,0.883	0.902,0.921	-0.009
19329	"ENSG00000215193.8"	"PEX26"	chr22	+	18561061	18561372	18560688	18560813	18562639	18562780	19329	9,34	6,5	13,15	0,0	197	99	0.196311105849	1.0	0.43,0.774	1.0,1.0	-0.398
19330	"ENSG00000159110.15"	"IFNAR2"	chr21	+	34624442	34624553	34621048	34621159	34624966	34625135	19330	2,6	87,64	1,1	71,46	197	99	0.288040659823	1.0	0.011,0.045	0.007,0.011	0.019
19331	"ENSG00000159110.15"	"IFNAR2"	chr21	+	34615977	34616019	34614190	34614282	34617255	34617379	19331	173,100	6,1	128,94	2,1	140	99	0.522479148059	1.0	0.953,0.986	0.978,0.985	-0.012
19332	"ENSG00000159110.15"	"IFNAR2"	chr21	+	34614144	34614282	34602278	34602521	34617255	34617379	19332	3,11	0,3	5,4	1,1	197	99	0.674268217201	1.0	1.0,0.648	0.715,0.668	0.133
19334	"ENSG00000159110.15"	"IFNAR2"	chr21	+	34632901	34633032	34624966	34625135	34635097	34636818	19334	95,54	0,1	63,47	2,1	197	99	0.293063646509	1.0	1.0,0.964	0.941,0.959	0.032
19335	"ENSG00000159110.15"	"IFNAR2"	chr21	+	34614190	34614282	34602230	34602521	34617255	34617379	19335	6,20	0,3	11,10	1,1	190	99	0.726763466726	1.0	1.0,0.776	0.851,0.839	0.043
19337	"ENSG00000234129.3"	"RP11-120D5.1"	chrX	-	10878162	10878466	10865995	10866923	11125020	11125110	19337	0,0	0,2	0,1	0,0	197	99	1	1.0	NA,0.0	NA,1.0	-1.0
19338	"ENSG00000254067.1"	"RP11-122L4.1"	chr8	+	39415510	39415698	39413664	39413968	39415864	39416052	19338	2,0	1,0	1,1	1,0	197	99	1	1.0	0.501,NA	0.334,1.0	-0.166
19339	"ENSG00000117713.13"	"ARID1A"	chr1	+	27094280	27094490	27092947	27093057	27097609	27097817	19339	341,250	0,0	194,215	1,1	197	99	0.421885886428	1.0	1.0,1.0	0.99,0.991	0.01
1933	"ENSG00000104714.9"	"ERICH1"	chr8	-	640897	641096	623766	624047	642477	642612	1933	13,13	64,51	7,6	53,38	197	99	0.284685069837	1.0	0.093,0.114	0.062,0.074	0.036
19340	"ENSG00000117713.13"	"ARID1A"	chr1	+	27088642	27088810	27087874	27087964	27089463	27089776	19340	28,243	1,1	46,66	0,0	197	99	0.329701935073	1.0	0.934,0.992	1.0,1.0	-0.037
19341	"ENSG00000117713.13"	"ARID1A"	chr1	+	27102307	27102447	27102067	27102198	27105513	27107474	19341	2,1	167,78	1,0	69,61	197	99	1	1.0	0.006,0.006	0.007,0.0	0.003
19345	"ENSG00000136758.14"	"YME1L1"	chr10	-	27404988	27405062	27403449	27403536	27405147	27405274	19345	908,821	0,5	705,590	1,1	172	99	1	1.0	1.0,0.99	0.998,0.997	-0.003
19346	"ENSG00000136758.14"	"YME1L1"	chr10	-	27434356	27434519	27425204	27425314	27437834	27437969	19346	108,340	0,1	270,237	2,1	197	99	0.556203148872	1.0	1.0,0.994	0.985,0.992	0.009
19347	"ENSG00000136758.14"	"YME1L1"	chr10	-	27425204	27425314	27423759	27423910	27437834	27437969	19347	81,325	0,2	260,225	3,2	197	99	0.599906592063	1.0	1.0,0.988	0.978,0.983	0.014
19348	"ENSG00000136758.14"	"YME1L1"	chr10	-	27427695	27427751	27425204	27425314	27431315	27431414	19348	0,3	39,355	1,1	148,168	154	99	1	1.0	0.0,0.005	0.004,0.004	-0.002
19351	"ENSG00000136758.14"	"YME1L1"	chr10	-	27415624	27415715	27412475	27412628	27420787	27420870	19351	413,399	0,0	269,257	1,1	189	99	1	1.0	1.0,1.0	0.993,0.993	0.007
19354	"ENSG00000136758.14"	"YME1L1"	chr10	-	27403449	27403536	27399382	27401049	27404988	27405062	19354	0,942	2,0	315,414	0,0	185	99	0.0829541180362	1.0	0.0,1.0	1.0,1.0	-0.5
19355	"ENSG00000136758.14"	"YME1L1"	chr10	-	27442155	27442210	27437834	27437969	27443106	27443300	19355	0,0	92,362	2,1	259,211	153	99	1	1.0	0.0,0.0	0.005,0.003	-0.004
19357	"ENSG00000040633.8"	"PHF23"	chr17	-	7140947	7140997	7140703	7140796	7142564	7142758	19357	55,40	0,1	3,6	0,0	148	99	1	1.0	1.0,0.964	1.0,1.0	-0.018
19358	"ENSG00000040633.8"	"PHF23"	chr17	-	7140947	7140979	7140703	7140796	7142564	7142758	19358	15,84	0,1	20,21	0,0	130	99	1	1.0	1.0,0.985	1.0,1.0	-0.008
1935	"ENSG00000148835.9"	"TAF5"	chr10	+	105137991	105138307	105133114	105133352	105139364	105139528	1935	74,39	1,2	47,45	1,1	197	99	0.857691604587	1.0	0.974,0.907	0.959,0.958	-0.018
19360	"ENSG00000114209.10"	"PDCD10"	chr3	-	167415638	167415766	167414796	167414914	167422629	167422683	19360	5,3	281,390	6,3	326,256	197	99	1	1.0	0.009,0.004	0.009,0.006	-0.001
19361	"ENSG00000114209.10"	"PDCD10"	chr3	-	167452001	167452138	167437849	167438061	167452593	167452624	19361	57,44	61,128	39,30	92,86	197	99	0.196188602187	1.0	0.32,0.147	0.176,0.149	0.071
19363	"ENSG00000114209.10"	"PDCD10"	chr3	-	167437849	167438018	167414796	167414914	167452593	167452639	19363	3,1	0,1	2,2	0,0	197	99	1	1.0	1.0,0.334	1.0,1.0	-0.333
19364	"ENSG00000114209.10"	"PDCD10"	chr3	-	167452001	167452034	167437849	167438061	167452593	167452639	19364	21,12	61,128	12,8	92,86	131	99	0.186958846751	1.0	0.206,0.066	0.09,0.066	0.058
19365	"ENSG00000114209.10"	"PDCD10"	chr3	-	167443188	167443261	167437849	167438061	167452624	167452718	19365	108,112	0,1	25,25	0,0	171	99	0.519397167807	1.0	1.0,0.985	1.0,1.0	-0.008
19366	"ENSG00000114209.10"	"PDCD10"	chr3	-	167443188	167443261	167437849	167438061	167452593	167452651	19366	92,76	61,128	67,60	92,86	171	99	0.360522089312	1.0	0.466,0.256	0.297,0.288	0.069
19367	"ENSG00000114209.10"	"PDCD10"	chr3	-	167443188	167443261	167437849	167438061	167452001	167452084	19367	76,61	54,41	50,46	37,29	171	99	0.96701446166	1.0	0.449,0.463	0.439,0.479	-0.003
19368	"ENSG00000114209.10"	"PDCD10"	chr3	-	167443188	167443261	167437849	167438061	167452219	167452305	19368	74,58	4,7	48,42	7,5	171	99	0.30842331119	1.0	0.915,0.827	0.799,0.829	0.057
19369	"ENSG00000114209.10"	"PDCD10"	chr3	-	167443188	167443261	167437849	167438061	167452246	167452298	19369	71,56	8,14	47,41	11,7	171	99	0.680533400923	1.0	0.837,0.698	0.712,0.772	0.025
1936	"ENSG00000148835.9"	"TAF5"	chr10	+	105145082	105145247	105142994	105143124	105146931	105147109	1936	40,73	0,5	69,60	2,1	197	99	0.523950848835	1.0	1.0,0.88	0.945,0.968	-0.016
19370	"ENSG00000114209.10"	"PDCD10"	chr3	-	167452001	167452084	167443188	167443261	167452593	167452639	19370	13,6	47,46	2,2	11,10	181	99	0.92378008252	1.0	0.131,0.067	0.09,0.099	0.005
19372	"ENSG00000114209.10"	"PDCD10"	chr3	-	167422629	167422683	167414796	167414914	167452593	167452639	19372	378,275	0,1	156,170	0,0	152	99	1	1.0	1.0,0.994	1.0,1.0	-0.003
19373	"ENSG00000114209.10"	"PDCD10"	chr3	-	167422629	167422683	167414796	167414914	167437849	167438061	19373	445,743	5,1	542,448	2,2	152	99	0.901911873652	1.0	0.983,0.998	0.994,0.993	-0.003
19374	"ENSG00000114209.10"	"PDCD10"	chr3	-	167452001	167452133	167437849	167438061	167452593	167452680	19374	54,41	61,128	42,33	92,86	197	99	0.427514826566	1.0	0.308,0.139	0.187,0.162	0.049
19375	"ENSG00000114209.10"	"PDCD10"	chr3	-	167452001	167452133	167443188	167443261	167452593	167452680	19375	9,9	24,24	9,8	20,17	197	99	0.609417961535	1.0	0.159,0.159	0.184,0.191	-0.028
19376	"ENSG00000114209.10"	"PDCD10"	chr3	-	167437849	167438061	167414827	167414914	167452593	167452717	19376	205,224	0,1	66,70	0,0	197	99	0.610968875257	1.0	1.0,0.991	1.0,1.0	-0.004
19379	"ENSG00000114209.10"	"PDCD10"	chr3	-	167405402	167405473	167405002	167405104	167413383	167413510	19379	221,186	1,3	40,51	0,0	169	99	0.426565799448	1.0	0.992,0.973	1.0,1.0	-0.018
19380	"ENSG00000114209.10"	"PDCD10"	chr3	-	167405402	167405481	167405002	167405104	167413383	167413510	19380	892,1368	1,1	970,823	1,1	177	99	1	1.0	0.998,0.999	0.998,0.998	0.0
1938	"ENSG00000132670.16"	"PTPRA"	chr20	+	2928627	2928670	2903852	2903931	2944917	2944996	1938	54,45	3,1	57,41	3,3	141	99	0.627925781464	1.0	0.927,0.969	0.93,0.906	0.03
19397	"ENSG00000205758.7"	"CRYZL1"	chr21	-	34969585	34969707	34968036	34968142	34971455	34971554	19397	135,133	4,3	95,74	5,3	197	99	0.248091698994	1.0	0.944,0.957	0.905,0.925	0.035
19398	"ENSG00000205758.7"	"CRYZL1"	chr21	-	34969585	34969707	34967436	34967834	34971455	34971554	19398	48,55	0,2	21,21	0,0	197	99	1	1.0	1.0,0.933	1.0,1.0	-0.033
19399	"ENSG00000205758.7"	"CRYZL1"	chr21	-	35013484	35013611	35003791	35003863	35013986	35014027	19399	0,1	23,13	1,1	15,9	197	99	0.402777962188	1.0	0.0,0.037	0.032,0.053	-0.024
19401	"ENSG00000225697.6"	"SLC26A6"	chr3	-	48669677	48669829	48669312	48669477	48670406	48670517	19401	35,30	4,2	32,21	3,2	197	99	0.886165000342	1.0	0.815,0.883	0.843,0.841	0.007
19404	"ENSG00000225697.6"	"SLC26A6"	chr3	-	48666054	48666147	48665866	48665974	48667074	48667144	19404	79,26	1,0	36,36	0,0	191	99	1	1.0	0.976,1.0	1.0,1.0	-0.012
19405	"ENSG00000225697.6"	"SLC26A6"	chr3	-	48669677	48669770	48669312	48669477	48670406	48670517	19405	10,23	4,2	15,9	3,2	191	99	0.898706651333	1.0	0.564,0.856	0.722,0.7	-0.001
19406	"ENSG00000225697.6"	"SLC26A6"	chr3	-	48670909	48671068	48670683	48670823	48672803	48672874	19406	36,47	0,2	2,6	0,0	197	99	1	1.0	1.0,0.922	1.0,1.0	-0.039
1940	"ENSG00000132670.16"	"PTPRA"	chr20	+	2955860	2955887	2945506	2945848	2967410	2967495	1940	11,9	111,60	5,4	88,64	125	99	0.144163304626	1.0	0.073,0.106	0.043,0.047	0.044
1941	"ENSG00000132670.16"	"PTPRA"	chr20	+	2979976	2980071	2968983	2969120	2985701	2985792	1941	12,5	169,81	3,2	89,71	193	99	0.241363216183	1.0	0.035,0.031	0.017,0.014	0.018
19424	"ENSG00000115484.10"	"CCT4"	chr2	-	62103229	62103369	62100331	62100428	62104054	62104161	19424	0,2938	1,1	1139,1225	0,0	197	99	0.0883888787389	1.0	0.0,0.999	1.0,1.0	-0.5
19425	"ENSG00000115484.10"	"CCT4"	chr2	-	62096574	62096688	62095564	62095841	62099216	62099278	19425	1278,1828	0,1	966,770	1,1	197	99	1	1.0	1.0,0.999	0.998,0.997	0.002
19426	"ENSG00000115484.10"	"CCT4"	chr2	-	62107420	62107529	62106003	62106146	62110593	62110683	19426	1875,2014	7,6	1275,998	5,3	197	99	1	1.0	0.993,0.994	0.992,0.994	0.001
19427	"ENSG00000115484.10"	"CCT4"	chr2	-	62112154	62112207	62110593	62110683	62115515	62115659	19427	0,779	2,0	176,295	0,0	151	99	0.0887604228489	1.0	0.0,1.0	1.0,1.0	-0.5
19429	"ENSG00000115484.10"	"CCT4"	chr2	-	62110593	62110683	62107420	62107529	62112154	62112207	19429	932,1077	3,6	720,571	3,2	188	99	0.966328099879	1.0	0.994,0.99	0.992,0.993	-0.0
19430	"ENSG00000115484.10"	"CCT4"	chr2	-	62110593	62110683	62107420	62107529	62115515	62115748	19430	601,503	2,7	246,269	0,0	188	99	0.196677352753	1.0	0.994,0.974	1.0,1.0	-0.016
19432	"ENSG00000115484.10"	"CCT4"	chr2	-	62099216	62099278	62096574	62096688	62099374	62099437	19432	436,385	1,0	13,13	0,0	160	99	1	1.0	0.996,1.0	1.0,1.0	-0.002
19433	"ENSG00000133119.8"	"RFC3"	chr13	+	34399925	34400023	34398053	34398121	34403972	34404154	19433	315,316	2,2	167,187	1,0	196	99	0.834121717476	1.0	0.988,0.988	0.988,1.0	-0.006
19439	"ENSG00000137776.12"	"SLTM"	chr15	-	59182479	59182660	59181628	59181753	59185095	59185259	19439	486,262	2,2	334,309	6,4	197	99	0.093650549253	1.0	0.992,0.985	0.965,0.975	0.018
1943	"ENSG00000132670.16"	"PTPRA"	chr20	+	3015546	3015732	3008352	3008487	3016230	3016356	1943	1,10	43,109	3,2	70,92	197	99	0.163986247444	1.0	0.012,0.044	0.021,0.011	0.012
19441	"ENSG00000137776.12"	"SLTM"	chr15	-	59205697	59205895	59204761	59204809	59209133	59209198	19441	402,160	0,3	166,155	1,1	197	99	0.733518199964	1.0	1.0,0.964	0.988,0.987	-0.006
19442	"ENSG00000137776.12"	"SLTM"	chr15	-	59191667	59192136	59191001	59191051	59193458	59193486	19442	194,83	4,11	112,94	6,4	197	99	0.883005378331	1.0	0.961,0.791	0.904,0.922	-0.037
19444	"ENSG00000137776.12"	"SLTM"	chr15	-	59186631	59186781	59186288	59186392	59189313	59189432	19444	475,175	2,0	295,279	2,2	197	99	0.403548854844	1.0	0.992,1.0	0.987,0.986	0.01
19446	"ENSG00000137776.12"	"SLTM"	chr15	-	59186631	59186794	59186356	59186392	59189313	59189432	19446	109,23	2,0	53,61	2,2	197	99	0.458324704101	1.0	0.965,1.0	0.93,0.939	0.048
19448	"ENSG00000137776.12"	"SLTM"	chr15	-	59204761	59204809	59193458	59193486	59209133	59209198	19448	81,48	2,0	40,33	2,1	146	99	0.275674288086	1.0	0.965,1.0	0.931,0.957	0.038
19449	"ENSG00000137776.12"	"SLTM"	chr15	-	59191667	59192082	59191001	59191051	59193458	59193486	19449	155,76	4,11	85,72	6,4	197	99	0.797034231878	1.0	0.951,0.776	0.877,0.9	-0.025
